id	youtubeId	city	country	hour	minute	director	directorUrl	walker	walkerUrl
1	QJPYLAwX1AA	Haneda,Kanagawa	Japan	6	0	WalkingJunkey	http://www.kafun.jp	Masaki	http://www.iino.jp
2	TYTR2XPZ7P4	Marunouchi,Tokyo	Japan	6	5	WalkingJunkey	http://www.google.com	YOSHITAKA	http://www.google.com
3	FDjs7ITGlkE	Shimokitazawa,Tokyo	Japan	6	10	WalkingJunkey	*	YOSHITAKA	*
4			Japan	6	15	WalkingJunkey	*	YOSHITAKA	*
5	PUCrLofyHnk	Marunouchi,Tokyo	Japan	6	20	WalkingJunkey	*	YOSHITAKA	*
6	azVHlKokIcA	Tsukiji-shijo	Japan	6	25	WalkingJunkey	*	YOSHITAKA	*
7	NiUn5IYI8cA	Shimokitazawa	Japan	6	30	WalkingJunkey	*	YOSHITAKA	*
8			Japan	6	35	WalkingJunkey	*	YOSHITAKA	*
9	G1xs4uRtLkY	Hibiya,Tokyo	Japan	6	40	WalkingJunkey	*	YOSHITAKA	*
10	QxhWnGXvh7g	Tsukiji-shijo,Tokyo	Japan	6	45	WalkingJunkey	*	YOSHITAKA	*
11			Japan	6	50	WalkingJunkey	*	YOSHITAKA	*
12	c2ilyf-DKT4	Haneda	Japan	6	55	WalkingJunkey	*	MASAKI	*
13			Japan	7	0	WalkingJunkey	*	YOSHITAKA	*
14			Japan	7	5	WalkingJunkey	*	YOSHITAKA	*
15			Japan	7	10	WalkingJunkey	*	YOSHITAKA	*
16	GzalaF9U1l4	Tsukiji-shijo	Japan	7	15	WalkingJunkey	*	YOSHITAKA	*
17	Qvc54OE0lPs	Shimokitazawa	Japan	7	20	WalkingJunkey	*	YOSHITAKA	*
18	1BfeS3pqrZU	Haneda	Japan	7	25	WalkingJunkey	*	YOSHITAKA	*
19	D4O8fzTnUNU	Shibuya,Tokyo	Japan	7	30	WalkingJunkey	*	YOSHITAKA	*
20	Tpei1aYvnWM	Shimokitazawa,Tokyo	Japan	7	35	WalkingJunkey	*	YOSHITAKA	*
21			Japan	7	40	WalkingJunkey	*	YOSHITAKA	*
22	ccbxUYODerA	Yoyogi-koen,Tokyo	Japan	7	45	WalkingJunkey	*	YOSHITAKA	*
23			Japan	7	50	WalkingJunkey	*	YOSHITAKA	*
24			Japan	7	55	WalkingJunkey	*	YOSHITAKA	*
25	Z1uOXDrUtAE	Yoyogi-koen,Tokyo	Japan	8	0	WalkingJunkey	*	YOSHITAKA	*
26			Japan	8	5	WalkingJunkey	*	YOSHITAKA	*
27			Japan	8	10	WalkingJunkey	*	YOSHITAKA	*
28	_DKJB-P2OSc	Shiodome,Tokyo	Japan	8	15	WalkingJunkey	*	YOSHITAKA	*
29	9fcH48Ltgzg	Sichirigahama,Kanagawa	Japan	8	20	WalkingJunkey	*	KOTA	*
30	aPWKClYVRxw	Sichirigahama,Kanagawa	Japan	8	25	WalkingJunkey	*	TSUCHIYA	*
31	SE86fXgX3n0	Meiji-jingu,Tokyo	Japan	8	30	WalkingJunkey	*	YOSHITAKA	*
32	upCwYkxwNLs	Higashi-ginza,Tokyo	Japan	8	35	WalkingJunkey	*	YOSHITAKA	*
33	TsZG5YU-EHg	Hodogaya,Kanagawa	Japan	8	40	WalkingJunkey	*	MASAKI	*
34	hvDyo7pf4Dk	Sichirigahama,Kanagawa	Japan	8	45	WalkingJunkey	*	TSUCHIYA	*
35	6eibMEUOMSA	Harajuku,Tokyo	Japan	8	50	WalkingJunkey	*	YOSHITAKA	*
36	9c2w7YQPBI0	Sichirigahama,Kanagawa	Japan	8	55	WalkingJunkey	*	YOSHITAKA	*
37	WJrNGogv10I	Tsukiji-sijo,Tokyo	Japan	9	0	WalkingJunkey	*	YOSHITAKA	*
38	91M2VW-DiAA	Yanaka,Tokyo	Japan	9	5	WalkingJunkey	*	YOSHITAKA	*
39	2405f3DCcdI	Tsukiji-sijo,Tokyo	Japan	9	10	WalkingJunkey	*	YOSHITAKA	*
40	mIMxhwghpc4	Yanaka,Tokyo	Japan	9	15	WalkingJunkey	*	YOSHITAKA	*
41			Japan	9	20	WalkingJunkey	*	YOSHITAKA	*
42	gPMuMNeRwzI	Yanaka,Tokyo	Japan	9	25	WalkingJunkey	*	YOSHITAKA	*
43	NzAXi3a6miI	Tsukiji-shijo,Tokyo	Japan	9	30	WalkingJunkey	*	YOSHITAKA	*
44	c8CUjOv778A	Yanaka,Tokyo	Japan	9	35	WalkingJunkey	*	YOSHITAKA	*
45	UCCj808WFB4	Tsukiji-shijo,Tokyo	Japan	9	40	WalkingJunkey	*	YOSHITAKA	*
